id,user_input,response,retrieved_contexts,reference,_difficulty,_tag,_topic
q1,What are the four departments in a McDonald's restaurant?,"The four departments in a McDonald's restaurant are People, Kitchen, Guest Service, and General Manager [1].","Advancement Opportunities Crew Member Master station skills. Excel in satisfying customers! Crew Trainer Train new crew members. Follow and teach proper procedures every time. Shift Leader Responsible for delivering Outstanding Food and Service on every shift managed. Leads the crew by example and a ||| Safety Data Sheets The Hazard Communication Standard (HCS) (29 CFR 1910.1200(g)), revised in 2012, requires that the chemical manufacturer, distributor, or importer provide Safety Data Sheets (SDS) (formerly MSDSs or Material Safety Data Sheets) for each hazardous chemical to downstream users to com ||| GENERAL REGULATIONS 1. The use of cell phones while on duty or anywhere on the floor is prohibited. Cell phones must be turned off and not visible. No other electronic devices (IPod, Bluetooth devices, etc.) are to be used or worn while on duty. Cell phones and other devices distract from your respo ||| Welcome To The Team This is your employee handbook. It has been designed to make you feel at home in your new work environment. This handbook has all the information needed to make your employment a rewarding experience. A copy of the handbook will be available in your restaurant and online for you  ||| WORKERS’ COMPENSATION On-the-job injuries are covered by our Workers’ Compensation Insurance Policy provided at no cost to you. If you are injured on the job, no matter how slightly, report the incident immediately to the Shift Manager and General Manager. You must be approved for an immediate Docto","The four departments are People, Kitchen, Guest Service, and General Manager.",easy,answerable,advancement
q2,When does the policy require employees to clock out during their shift?,"The policy requires employees to clock out during their shift at the beginning of their meal/break period and at the end of their shift after advising the shift manager they are scheduled to clock out. Additionally, if an employee leaves the building on non-Company business, they must clock out [1].","RECORDING YOUR TIME We want to be sure that you are paid fairly for all hours that you work. To accomplish this, we must have an accurate record of the time that you work. This Company uses a time clock to keep time records. Your supervisor will explain how this clock is used. The important points t ||| BENEFITS Medical, Dental and Life Insurance Offered: For those Management and crew that meet the criteria of full time according to the ACA definition of averaging 30 hours or more during the Standard Measurement Period of November to October, we are proud to offer Blue Cross, Blue Shield Medical In ||| • Hitting or shoving an individual • Threatening to harm an individual or his/her family, friends, associates, or their property • The intentional destruction or threat of destruction of property owned, operated, or controlled by the Company • Harassing or threatening individuals through any form of ||| RULES FOR OPERATION OF 24 HOUR STORES FOR 24 HOUR RESTAURANTS: DURING 12:00 AM – 6:00 AM TIME PERIOD All policies & rules are guidelines for crew and managers. Managers are responsible for enforcing these rules & policies with crew. Failure on a crew member’s part to abide by these rules will result ||| WORKERS’ COMPENSATION On-the-job injuries are covered by our Workers’ Compensation Insurance Policy provided at no cost to you. If you are injured on the job, no matter how slightly, report the incident immediately to the Shift Manager and General Manager. You must be approved for an immediate Docto","Employees must clock out at the beginning of their meal/break period, at the end of their shift after advising the shift manager, and whenever they leave the building on non-Company business.",easy,answerable,time_recording
q3,"If someone calls asking for an employment reference about a former employee, what should I do?","If someone calls asking for an employment reference about a former employee, you should direct any request for a reference or employment history to the Owner, as the Company’s policy states that employees are not to provide any references regarding a current or former employee’s employment with the Company [1].","BULLETIN BOARD Information of interest and importance to you is regularly posted on our bulletin board. We suggest that you look at it regularly to keep up with what is happening. This bulletin board is for Company announcements and publications only, and employees may not post or remove any informa ||| REQUEST FOR EMPLOYEE INFORMATION Our Company will release employee information under the following circumstances: • Requests from the Internal Revenue Service, Social Security Commission or other Federal and State agencies or courts authorized to secure information without employee permission. • App ||| employment. As required by the ADA or other applicable law, we will provide reasonable accommodations to qualified individuals with a disability in the workplace unless such accommodations present an undue hardship or if the individual is a direct threat to the health or safety of the individual or  ||| disadvantage. Therefore, employees may not reference or display any information about any of the Company’s clients, customers, or partners without obtaining their express permission to do so. 3. Employees should not post or cause to be posted any information about the Company that could be viewed as ||| NON-FRATERNIZATION The Company prohibits dating or romantic relationships between a supervisor and a subordinate who reports either directly or indirectly to that supervisor. In the event a supervisor and subordinate desire to date or enter into a romantic relationship, the supervisor should immedia",Direct the request to the Owner. Employees are not to provide any reference regarding a current or former employee's employment with the Company.,easy,answerable,job_references
q4,How much advance notice should employees give when resigning?,Employees should provide at least two weeks' advance notice when resigning [3].,"Flexible Scheduling: We know that many of our employees are leading very busy lives including your family demands and possibly school demands. Be sure to keep your manager informed of your availability and “request off” needs and we can generally work around specific needs. However, keep in mind tha ||| EMPLOYMENT APPLICATIONS We rely upon the accuracy of information contained in the employment application and the accuracy of other data presented throughout the hiring process and employment. Any misrepresentations, falsifications, or material omissions in any of this information or data may result  ||| BULLETIN BOARD Information of interest and importance to you is regularly posted on our bulletin board. We suggest that you look at it regularly to keep up with what is happening. This bulletin board is for Company announcements and publications only, and employees may not post or remove any informa ||| A WORD ABOUT THIS HANDBOOK Purpose The information contained in this Handbook is designed as an advisory guide to assist the Company and our supervisors with the effective management of personnel. The provisions and guidelines contained in this Handbook are not binding on the Company and may be chan ||| WORKERS’ COMPENSATION On-the-job injuries are covered by our Workers’ Compensation Insurance Policy provided at no cost to you. If you are injured on the job, no matter how slightly, report the incident immediately to the Shift Manager and General Manager. You must be approved for an immediate Docto",At least two weeks' advance notice.,easy,answerable,resignation
q5,What is the rule for handling cash bills larger than $20?,The rule for handling cash bills larger than $20 is that all bills greater than $20.00 must be placed underneath the cash register drawer [1].,"7. All orders are to be paid for at the time they are made. Also, all food must be made and consumed at the time it is paid for. 8. Place bills across the money slots with the back facing up until change is made, then put bills in the appropriate slots. By placing the bills upside down, you can dete ||| food to an employee during the preparation of their employee meal. This will result in the termination of both employees. Anyone found giving food away without the redemption of coupons, BOG cards, other promotional cards or approval of the shift manager will be subject to termination. If a customer ||| grey; no pink, purple, blue, vivid orange, vivid reds, etc.) Hats are the only acceptable headgear. The appropriate McDonald’s hat – visor must be worn. 6. Pants must be worn around the waist. 7. Solid Black (no stripes, lines, other colors), rubber soled non-slip is the only appropriate footwear. N ||| Safety Data Sheets The Hazard Communication Standard (HCS) (29 CFR 1910.1200(g)), revised in 2012, requires that the chemical manufacturer, distributor, or importer provide Safety Data Sheets (SDS) (formerly MSDSs or Material Safety Data Sheets) for each hazardous chemical to downstream users to com ||| RECORDING YOUR TIME We want to be sure that you are paid fairly for all hours that you work. To accomplish this, we must have an accurate record of the time that you work. This Company uses a time clock to keep time records. Your supervisor will explain how this clock is used. The important points t",All bills greater than $20.00 must be placed underneath the cash register drawer.,medium,answerable,cash_handling
q6,Who qualifies for the Blue Cross Blue Shield medical insurance offered by the company?,"Employees who qualify for the Blue Cross Blue Shield medical insurance offered by the company are those in management and crew positions that meet the criteria of full-time employment, defined according to the ACA as averaging 30 hours or more during the Standard Measurement Period from November to October [1].","BENEFITS Medical, Dental and Life Insurance Offered: For those Management and crew that meet the criteria of full time according to the ACA definition of averaging 30 hours or more during the Standard Measurement Period of November to October, we are proud to offer Blue Cross, Blue Shield Medical In ||| Coffee Lid Placement Procedures These procedures are very important. Coffee spills can harm you or our customers. You will be shown these procedures during orientation and you are encouraged to ask questions. Your signature on the handbook page acknowledges your training. Safe Working Practices By s ||| MILITARY LEAVE The Company will comply with its obligations for those employees who serve in any branch of the United States uniformed military services, including providing any necessary time off, in accordance with federal, state, and local law. The Family and Medical Leave Act of 1993 (“FMLA”) co ||| Health Policy Plan The purpose of this agreement is to ensure that food employees notify the person in charge when they experience any of the conditions listed so that the person in charge can take the appropriate steps to prelude the transmission of foodborne illness. Your signature on the Handbook ||| EMPLOYMENT APPLICATIONS We rely upon the accuracy of information contained in the employment application and the accuracy of other data presented throughout the hiring process and employment. Any misrepresentations, falsifications, or material omissions in any of this information or data may result ",Management and crew who meet the ACA full-time definition of averaging 30 hours or more per week during the Standard Measurement Period of November to October.,medium,answerable,benefits
q7,Is harassing surveillance of another employee considered prohibited workplace conduct?,"Yes, harassing surveillance of another employee is considered prohibited workplace conduct [1].","• Hitting or shoving an individual • Threatening to harm an individual or his/her family, friends, associates, or their property • The intentional destruction or threat of destruction of property owned, operated, or controlled by the Company • Harassing or threatening individuals through any form of ||| NON-FRATERNIZATION The Company prohibits dating or romantic relationships between a supervisor and a subordinate who reports either directly or indirectly to that supervisor. In the event a supervisor and subordinate desire to date or enter into a romantic relationship, the supervisor should immedia ||| REQUEST FOR EMPLOYEE INFORMATION Our Company will release employee information under the following circumstances: • Requests from the Internal Revenue Service, Social Security Commission or other Federal and State agencies or courts authorized to secure information without employee permission. • App ||| ZERO TOLERANCE - EQUAL EMPLOYMENT OPPORTUNITY POLICY EEO Policy We are committed to maintaining a workplace that is free of inappropriate or unlawful conduct on the basis of race, color, religion, sex, national origin, age, disability, genetic information, or other protected group status as provided ||| take corrective action as we determine is appropriate, including such discipline up to and including immediate termination of employment. We will undertake corrective action to stop inappropriate conduct before it rises to the level of an unlawful action. You will be notified as to the outcome of yo","Yes. Harassing surveillance of another Company employee, combined with making a credible threat with intent to place the other person in reasonable fear of their safety, is listed as prohibited conduct.",medium,answerable,conduct
q8,What are the B-REDS and T-REDS thresholds and what happens if a cashier exceeds them?,"The B-REDS threshold is 3%, and the T-REDS threshold is .50%. If a cashier exceeds these thresholds, documentation will be issued [1].","7. All orders are to be paid for at the time they are made. Also, all food must be made and consumed at the time it is paid for. 8. Place bills across the money slots with the back facing up until change is made, then put bills in the appropriate slots. By placing the bills upside down, you can dete ||| food to an employee during the preparation of their employee meal. This will result in the termination of both employees. Anyone found giving food away without the redemption of coupons, BOG cards, other promotional cards or approval of the shift manager will be subject to termination. If a customer ||| SECURITY We are committed to providing a secure workplace and ensuring the protection of corporate assets and proprietary information. Security is an integral part of your job responsibilities. Be sensitive to information you generate or have access to, protect corporate assets such as inventory, re ||| Safety Data Sheets The Hazard Communication Standard (HCS) (29 CFR 1910.1200(g)), revised in 2012, requires that the chemical manufacturer, distributor, or importer provide Safety Data Sheets (SDS) (formerly MSDSs or Material Safety Data Sheets) for each hazardous chemical to downstream users to com ||| Welcome To The Team This is your employee handbook. It has been designed to make you feel at home in your new work environment. This handbook has all the information needed to make your employment a rewarding experience. A copy of the handbook will be available in your restaurant and online for you ",Documentation will be issued if a cashier exceeds 3% B-REDS or 0.50% T-REDS. Managers review and track these numbers at the end of each shift.,hard,answerable,cash_handling
q9,What is the company's paid vacation policy for part-time crew members?,Not found in provided policies.,"Flexible Scheduling: We know that many of our employees are leading very busy lives including your family demands and possibly school demands. Be sure to keep your manager informed of your availability and “request off” needs and we can generally work around specific needs. However, keep in mind tha ||| CREW-EMPLOYEE FOOD POLICY As a valued employee, you are entitled to one FREE meal during your break or directly after your shift. This is meant to be one meal as listed on the menu board, and can not include specialty drinks or deserts. All food received under this policy is for the employee's perso ||| Safety Data Sheets The Hazard Communication Standard (HCS) (29 CFR 1910.1200(g)), revised in 2012, requires that the chemical manufacturer, distributor, or importer provide Safety Data Sheets (SDS) (formerly MSDSs or Material Safety Data Sheets) for each hazardous chemical to downstream users to com ||| RECORDING YOUR TIME We want to be sure that you are paid fairly for all hours that you work. To accomplish this, we must have an accurate record of the time that you work. This Company uses a time clock to keep time records. Your supervisor will explain how this clock is used. The important points t ||| 7. All orders are to be paid for at the time they are made. Also, all food must be made and consumed at the time it is paid for. 8. Place bills across the money slots with the back facing up until change is made, then put bills in the appropriate slots. By placing the bills upside down, you can dete",Not found in provided policies.,adversarial,unanswerable,out_of_scope
q10,What is the dress code requirement regarding hair length for male crew members?,Not found in provided policies.,"grey; no pink, purple, blue, vivid orange, vivid reds, etc.) Hats are the only acceptable headgear. The appropriate McDonald’s hat – visor must be worn. 6. Pants must be worn around the waist. 7. Solid Black (no stripes, lines, other colors), rubber soled non-slip is the only appropriate footwear. N ||| GENERAL REGULATIONS 1. The use of cell phones while on duty or anywhere on the floor is prohibited. Cell phones must be turned off and not visible. No other electronic devices (IPod, Bluetooth devices, etc.) are to be used or worn while on duty. Cell phones and other devices distract from your respo ||| PERSONAL TELEPHONE CALLS It is important to keep our telephone lines free for customer calls. Although use of the Company’s telephones for a personal emergency may be necessary, routine personal calls are prohibited during work time. If you have completed your shift and the telephone is not busy, we ||| Safety Data Sheets The Hazard Communication Standard (HCS) (29 CFR 1910.1200(g)), revised in 2012, requires that the chemical manufacturer, distributor, or importer provide Safety Data Sheets (SDS) (formerly MSDSs or Material Safety Data Sheets) for each hazardous chemical to downstream users to com ||| CREW-EMPLOYEE FOOD POLICY As a valued employee, you are entitled to one FREE meal during your break or directly after your shift. This is meant to be one meal as listed on the menu board, and can not include specialty drinks or deserts. All food received under this policy is for the employee's perso",Not found in provided policies.,adversarial,unanswerable,out_of_scope
